StartDate,EndDate,Status,IPAddress,Progress,duration,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Instruct. cont.,consent_date,age,race,race_text,income,NRS_Time_First Click,NRS_Time_Last Click,NRS_Time_Page Submit,NRS_Time_Click Count,nrs_1,nrs_2,nrs_3,nrs_4,nrs_5,nrs_6,pmerq_time_First Click,pmerq_time_Last Click,pmerq_time_Page Submit,pmerq_time_Click Count,pmerq_repurp_eng_2,pmerq_sitmod_dis_3,pmerq_sitsel_eng_4,pmerq_sitsel_dis_5,pmerq_recons_dis_7,pmerq_sitsel_dis_9,pmerq_repurp_dis_10,pmerq_repurp_eng_11,pmerq_sitmod_eng_12,pmerq_recons_eng_13,pmerq_sitmod_eng_14,pmerq_repurp_dis_15,pmerq_attdep_eng_16,pmerq_sitsel_eng_17,pmerq_sitmod_eng_18,pmerq_repurp_eng_19,pmerq_attdep_dis_20,pmerq_sitsel_dis_22,pmerq_sitmod_eng_23,pmerq_attdep_eng_24,pmerq_recons_eng_25,pmerq_attdep_dis_27,pmerq_recons_eng_28,pmerq_respmod_eng_29,pmerq_sitmod_dis_30,pmerq_attdep_dis_32,pmerq_recons_dis_33,pmerq_repurp_dis_34,pmerq_recons_dis_36,pmerq_sitmod_eng_37,pmerq_attdep_eng_38,pmerq_repurp_dis_39,pmerq_sitsel_dis_41,pmerq_sitmod_dis_42,pmerq_repurp_eng_43,pmerq_sitsel_dis_45,pmerq_attdep_dis_46,pmerq_recons_eng_47,pmerq_sitmod_dis_48,pmerq_sitsel_dis_49,pmerq_attdep_eng_51,pmerq_attdep_eng_52,pmerq_repurp_eng_53,pmerq_sitsel_eng_54,pmerq_respmod_dis_57,pmerq_respmod_dis_58,pmerq_recons_dis_60,pmerq_sitmod_eng_61,ac_1,pmerq_attdep_dis_63,pmerq_sitsel_eng_64,pmerq_recons_dis_65,pmerq_recons_eng_67,pmerq_repurp_eng_68,pmerq_respmod_eng_69,pmerq_sitmod_dis_70,pmerq_respmod_dis_72,pmerq_respmod_eng_73,SWL_Time_First Click,SWL_Time_Last Click,SWL_Time_Page Submit,SWL_Time_Click Count,swl_1,swl_2,swl_3,swl_4,swl_5,RS_Time_First Click,RS_Time_Last Click,RS_Time_Page Submit,RS_Time_Click Count,rrs_brood_1,rrs_brood_2,rrs_brood_3,rrs_brood_4,rrs_brood_5,PANAS_Time_First Click,PANAS_Time_Last Click,PANAS_Time_Page Submit,PANAS_Time_Click Count,panas_pa_1,panas_na_2,panas_pa_3,panas_na_4,panas_pa_5,panas_na_6,panas_na_7,panas_na_8,panas_pa_9,panas_pa_10,panas_na_11,panas_pa_12,panas_na_13,panas_pa_14,panas_na_15,panas_pa_16,panas_pa_17,panas_na_18,panas_pa_19,panas_na_20,ACE_Time_First Click,ACE_Time_Last Click,ACE_Time_Page Submit,ACE_Time_Click Count,ace_1,ace_2,ace_3,ace_4,ace_5,ace_6,ace_7,ace_8,ace_9,ace_10,Nature_Time_First Click,Nature_Time_Last Click,Nature_Time_Page Submit,Nature_Time_Click Count,nature_freq,nature_time,nature_setting,perceived_exertion,FCV_Time_First Click,FCV_Time_Last Click,FCV_Time_Page Submit,FCV_Time_Click Count,fcv_1,fcv_2,fcv_3,fcv_4,fcv_5,fcv_6,fcv_7,PSS_Time_First Click,PSS_Time_Last Click,PSS_Time_Page Submit,PSS_Time_Click Count,pss_1,pss_2,pss_3,pss_4_r,pss_5_r,pss_6,pss_7_r,pss_8_r,ac_2,pss_9,pss_10,MacArthur_Time_First Click,MacArthur_Time_Last Click,MacArthur_Time_Page Submit,MacArthur_Time_Click Count,macarthur_us_rung,macarthur_us_salience,macarthur_comm_rung,macarthur_comm_salience,FM_Time_First Click,FM_Time_Last Click,FM_Time_Page Submit,FM_Time_Click Count,fm_1,fm_2,fm_3,fm_4,fm_5,fm_6,fm_7,ac_3,fm_8,fm_9,fm_10,fm_11,fm_12,SDS_Time_First Click,SDS_Time_Last Click,SDS_Time_Page Submit,SDS_Time_Click Count,sds_1,sds_2,sds_3,sds_4,sds_5_r,sds_6,sds_7_r,sds_8,sds_9_r,sds_10_r,sds_11,sds_12,sds_13_r,SitSelect_Time_First Click,SitSelect_Time_Last Click,SitSelect_Time_Page Submit,SitSelect_Time_Click Count,ss_approach_1,ss_approach_2,ss_approach_3,ss_approach_4,ss_avoid_5,ss_avoid_6,TAS_Time_First Click,TAS_Time_Last Click,TAS_Time_Page Submit,TAS_Time_Click Count,tas_dif_1,tas_ddf_2,tas_dif_3,tas_ddf_4_r,tas_eot_5_r,tas_dif_6,tas_dif_7,tas_eot_8,tas_dif_9,tas_eot_10_r,tas_ddf_11,tas_ddf_12,tas_dif_13,tas_dif_14,tas_eot_15,tas_eot_16,tas_ddf_17,tas_eot_18_r,tas_eot_19_r,tas_eot_20,PAQ_Time_First Click,PAQ_Time_Last Click,PAQ_Time_Page Submit,PAQ_Time_Click Count,paq_neg_ddf_1,paq_neg_dif_2,paq_gen_eot_3,paq_pos_ddf_4,paq_pos_dif_5,paq_gen_eot_6,paq_neg_ddf_7,paq_neg_dif_8,paq_gen_eot_9,paq_pos_ddf_10,paq_pos_dif_11,paq_gen_eot_12,paq_neg_ddf_13,paq_neg_dif_14,paq_gen_eot_15,paq_pos_ddf_16,paq_pos_dif_17,paq_gen_eot_18,paq_neg_ddf_19,ac_4,paq_neg_dif_20,paq_gen_eot_21,paq_pos_ddf_22,paq_pos_dif_23,paq_gen_eot_24,Dem_Time_First Click,Dem_Time_Last Click,Dem_Time_Page Submit,Dem_Time_Click Count,gender,gender_text,edu,zipcode,zipcode_duration,relationship,employment,employment_text,occupation,Occupation_11_TEXT,SC0,SC2,SC3,SC4,SC5,SC6,SC11,SC13,SC15,SC17,SC18,opp,QPMID,RISN,rid,Q_HCL,Q_BallotBoxStuffing,cintid,ProjectToken,gc,term,LS
2021-03-12 12:30:48,2021-03-12 12:56:32,IP Address,71.210.244.43,100,1544,True,2021-03-12 12:56:33,R_1OTeHnPmRaR5KcF,NA,NA,NA,NA,35.09869384765625,-77.10449981689453125,anonymous,EN,1,NA,0,0,NA,Yes,03/12/2021,81,White/Caucasian,NA,"$20,000 to $29,999",9.502,34.125,35.541,8,NA,1,4,5,4,4,8.172,114.609,115.476,26,1,1,2,1,-1,2,2,-2,1,1,2,1,2,1,2,2,2,-1,2,2,2,2,1,-2,2,2,2,2,2,2,-2,2,1,2,3,2,2,-2,2,2,2,-1,2,2,2,-2,-2,-1,1,2,2,2,-2,2,-2,2,2,-2,6.815,38.707,39.631,10,NA,NA,NA,NA,NA,12.193,35.36,36.103,8,2,1,1,3,2,7.787,76.011,76.976,33,2,2,3,2,1,1,1,1,2,4,1,4,1,4,4,4,4,2,3,1,13.3,103.12,103.913,24,0,1,0,0,0,1,0,1,0,1,7.003,20.906,25.904,9,1,0,NA,NA,5.448,37.728,38.498,11,4,4,NA,4,NA,2,2,9.901,79.458,80.237,19,2,1,3,3,2,1,1,1,1,2,2,5.183,55.549,57.169,26,7,5,7,5,10.9,83.661,84.476,27,8,8,1,9,9,5,5,1,7,8,6,8,9,11.144,96.705,97.599,19,1,1,0,0,0,0,1,0,0,0,0,1,0,4.907,38.801,39.695,11,NA,NA,NA,NA,4,4,10.982,98.005,98.721,30,2,4,3,4,2,3,3,4,3,2,2,3,2,2,4,4,5,2,2,4,11.094,169.677,170.512,44,6,4,6,6,2,6,6,4,2,6,5,2,2,2,6,5,4,2,6,1,6,2,6,6,2,1.5,6.686,7.616,5,Male,NA,High school graduate (high school diploma or equivalent including GED),28557,> 3 years,Married,Not working (retired),NA,Retired,NA,181,21,20,9,49,4,22,18,14,31,18,Qual2591-0129-S1,73543697,10356239,604bc145-648a-0976-53c0-62cc763d3d6f,NA,NA,NA,NA,1,NA,1081
2021-03-12 12:31:48,2021-03-12 13:01:13,IP Address,99.62.234.130,100,1764,True,2021-03-12 13:01:13,R_2Beyxt6GdyGrJrk,NA,NA,NA,NA,43.1204986572265625,-89.35230255126953125,anonymous,EN,1,NA,0,0,NA,Yes,03/12/2021,68,White/Caucasian,NA,"$60,000 to $69,999",12.219,33.995,34.985,7,NA,1,1,5,4,NA,6.138,132.937,133.794,23,-2,-3,-3,3,-1,3,-3,1,-1,-1,1,-1,1,-3,1,-3,-2,3,-3,1,-2,2,3,-3,-3,-3,-3,2,-2,-1,-3,-3,3,2,-3,3,3,3,2,3,2,1,-3,-3,2,2,1,1,1,-2,-2,3,3,-3,-2,-3,2,-3,8.321,27.249,28.297,6,NA,NA,NA,NA,NA,7.277,33.453,34.323,6,2,2,1,2,1,39.327,93.199,94.853,22,2,2,2,2,1,2,1,1,1,3,2,2,2,2,2,3,3,2,2,1,12.566,56.046,57.028,15,0,0,0,0,0,0,0,0,0,0,23.576,34.12,60.488,3,2,0,NA,NA,7.378,30.242,31.475,8,2,2,1,1,1,1,1,29.144,93.512,94.663,14,1,0,2,0,0,0,0,0,1,1,0,4.444,20.284,21.427,5,9,4,9,4,5.235,96.035,102.109,17,9,9,3,7,8,9,6,1,10,10,8,0,1,8.66,81.876,83.611,14,0,1,0,1,0,0,1,1,1,0,1,1,0,7.921,37.176,37.998,7,NA,NA,NA,NA,NA,NA,6.745,130.585,131.504,25,1,1,1,2,3,1,3,4,2,3,2,1,3,2,5,3,5,4,5,5,11.3,242.212,243.463,31,2,2,4,3,2,6,6,2,3,6,2,3,4,1,5,2,1,6,5,1,1,3,3,2,2,2.284,7.084,8.259,3,Male,NA,Associate degree in college (2-year),53532,> 3 years,Married,Not working (retired),NA,Retired,NA,135,17,8,8,45,0,9,4,18,24,21,Qual2591-0129-S1,73543697,10356239,604bc1a0-837d-3133-6414-8d0b3c6ce293,NA,NA,NA,NA,1,NA,1081
2021-03-12 12:49:50,2021-03-12 13:17:32,IP Address,107.77.228.79,100,1662,True,2021-03-12 13:17:33,R_3Ev4x8WzNycytsp,NA,NA,NA,NA,34.1056976318359375,-118.3285980224609375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,NA,0,0,NA,Yes,03/12/2021,58,White/Caucasian,NA,"$10,000 to $19,999",5.005,27.891,30.535,14,1,5,5,5,5,5,8.374,127.482,128.772,36,-1,1,-1,2,2,3,-1,-1,1,1,2,1,-1,-3,1,1,-2,3,2,1,1,2,2,-2,-1,-2,1,1,1,1,1,1,-1,-1,2,2,-1,1,1,1,1,1,1,-3,1,3,3,3,1,1,-3,3,-1,2,1,1,3,2,9.078,31.148,32.331,15,NA,NA,NA,NA,NA,18.563,35.793,36.674,8,1,1,1,1,1,8.188,41.152,42.145,32,5,1,3,1,5,1,1,1,5,5,1,5,1,5,1,5,5,1,5,1,8.319,54.996,56.008,22,0,0,0,0,0,1,0,0,0,0,11.601,35.274,35.761,10,6,3,Yard or personal garden,11 (Light),7.464,35.285,36.354,13,5,5,NA,5,NA,NA,NA,9.247,73.606,74.881,28,0,0,0,0,0,0,2,0,1,0,0,3.688,29.026,30.001,15,3,3,3,3,9.175,101.577,103.238,43,10,10,10,10,10,10,10,1,7,10,10,7,7,6.899,89.454,90.411,27,1,1,1,1,1,1,1,1,1,0,1,1,1,5.992,32.068,33.106,12,NA,NA,NA,NA,NA,NA,6.739,97.708,98.564,47,1,1,1,2,3,1,3,2,1,1,3,1,1,1,1,3,1,2,2,1,8.423,165.584,167.158,52,5,3,1,3,1,2,6,5,1,5,1,3,5,2,6,3,3,3,5,1,5,1,5,1,1,0.9,7.161,8.1,7,Female,NA,High school graduate (high school diploma or equivalent including GED),92065,1 - 3 years,Divorced,Not working (disabled),NA,Retired,NA,154,26,5,5,58,1,27,2,6,48,10,Qual2591-0129-S1,73543697,10356239,604bc5eb-7ce0-b368-7842-aa0ede232954,NA,NA,NA,NA,1,NA,1081
2021-03-12 12:57:49,2021-03-12 13:27:39,IP Address,143.59.172.125,100,1789,True,2021-03-12 13:27:40,R_3dRFDHtLAht0IyM,NA,NA,NA,NA,40.114898681640625,-82.90540313720703125,anonymous,EN,0.8000000000000000444089209850062616169452667236328125,NA,0,0,NA,Yes,03/12/2021,69,White/Caucasian,NA,"$50,000 to $59,999",1.571,28.478,29.8,14,1,1,1,2,2,2,1.054,162.653,162.738,57,1,-1,2,1,1,1,-2,-2,-1,3,1,-1,-1,-1,-1,1,-2,-2,2,-1,1,-2,3,1,-2,-2,1,-1,1,-1,1,-2,-2,-2,-2,-2,-2,3,1,-2,1,1,1,1,-2,-2,-2,1,1,-2,2,1,1,-1,-1,-2,-2,-1,3.153,31.584,33.153,16,NA,NA,NA,NA,NA,2.91,20.633,21.892,13,1,1,1,1,1,5.462,60.115,61.625,42,3,1,2,1,3,1,1,1,4,4,1,3,1,2,1,4,4,1,3,1,6.923,95.699,97.058,33,0,1,0,0,0,0,0,0,0,0,6.708,58.953,59.02,15,7,3,Urban/suburban parks or public gardens,12,5.78,35.559,36.704,19,NA,2,1,1,1,1,1,1.838,82.677,83.889,28,0,0,0,0,2,0,1,1,1,0,0,3.087,22.108,24.096,9,7,2,7,2,9.625,113.244,114.601,37,8,8,10,10,8,8,8,1,5,8,8,8,8,3.074,74.919,75.67,37,1,1,1,1,0,0,0,0,0,0,1,1,0,4.183,47.275,48.665,15,NA,NA,NA,NA,2,4,3.058,100.913,102.75,48,1,1,1,1,3,1,1,3,1,1,1,1,1,1,3,3,1,2,3,3,5.266,159.175,160.088,59,1,1,1,1,1,5,1,1,1,1,1,1,1,1,3,1,1,2,2,1,2,1,1,1,1,9.794,14.11,15.724,4,Male,NA,Bachelor's degree in college (4-year),43081,> 3 years,Married,Working (paid employee),NA,Sales and office,NA,113,9,13,5,42,1,10,4,14,32,10,Qual2591-0129-S1,73543697,10356239,604bc7b1-ab15-da0f-6420-2ff655a9ec44,NA,NA,NA,NA,1,NA,1081
2021-03-12 12:58:23,2021-03-12 13:28:57,IP Address,24.89.8.52,100,1833,True,2021-03-12 13:28:58,R_1hHbHcOI8rgoPYE,NA,NA,NA,NA,39.6342926025390625,-77.73370361328125,anonymous,EN,1,NA,0,0,NA,Yes,03/12/21,65,White/Caucasian,NA,"$40,000 to $49,999",5.025,25.257,26.282,6,5,1,4,5,4,NA,94.856,183.623,185.428,15,-3,-2,3,-3,-3,1,1,2,-3,3,2,1,-3,2,-3,1,-1,1,1,-2,1,-3,-2,2,-1,-1,2,1,1,-2,-3,2,3,1,1,1,-3,3,-3,2,1,-3,-3,3,2,-2,-2,-1,1,-1,3,-1,3,-1,1,-3,2,-2,15.12,33.009,34.686,7,NA,NA,NA,NA,NA,14.797,36.629,37.93,5,2,3,1,2,2,5.695,54.098,55.326,20,3,1,2,2,4,1,1,3,2,3,4,5,1,2,1,2,4,1,4,1,12.833,95.421,101.044,11,0,0,0,0,0,0,0,0,0,0,20.225,27.069,33.348,2,6,10,Yard or personal garden,13 (Somewhat hard),8.922,33.746,34.864,8,NA,4,2,2,2,1,1,14.132,87.55,89.18,12,2,1,2,0,2,0,1,0,1,3,0,33.247,41.849,43.187,2,6,0,8,0,11.649,81.597,83.166,14,5,6,9,8,6,7,0,1,7,7,7,0,0,9.185,64.753,65.603,13,1,0,0,0,0,0,1,0,0,1,0,0,0,5.633,26.878,28.06,6,NA,NA,NA,NA,NA,NA,8.328,106.649,107.823,23,3,1,1,2,2,4,4,2,3,1,4,3,1,4,5,4,3,2,2,4,22.94,179.068,180.05,26,1,1,4,5,5,6,1,2,2,4,3,5,2,5,6,7,5,3,1,1,3,6,5,5,6,2.057,4.262,6.771,2,Male,NA,Some college but no degree,21767,> 3 years,Never Married,Not working (retired),NA,Retired,NA,166,22,15,10,50,0,15,11,14,33,17,Qual2591-0129-S1,73543697,10356239,604bc7b1-063c-4080-96e8-4c7a039acbfa,NA,NA,NA,NA,1,NA,1081
2021-03-12 13:43:52,2021-03-12 14:04:56,IP Address,217.138.198.204,100,1263,True,2021-03-12 14:04:57,R_SV2pDJIMOzLN3R7,NA,NA,NA,NA,40.7156982421875,-74,anonymous,EN,NA,NA,0,85,NA,Yes,24141985,35,White/Caucasian,NA,"$90,000 to $99,999",1.184,5.594,10.683,8,4,5,4,5,4,5,3.441,60.277,61.394,19,1,2,3,2,2,2,3,2,2,3,2,3,2,3,2,1,2,3,2,3,2,3,2,3,2,2,3,2,3,2,1,2,2,3,2,2,3,2,1,3,1,2,3,2,3,1,2,3,1,1,1,2,3,2,3,2,3,2,1.094,18.784,22.845,15,NA,NA,NA,NA,NA,0.738,2.978,9.231,5,3,4,3,4,3,1.088,49.113,60.428,32,3,5,5,3,5,3,4,3,5,5,4,3,4,5,3,4,3,4,3,5,2.07,28.789,43.591,14,1,0,1,0,1,0,1,0,1,0,1.612,37.968,42.111,6,5,8,Neighborhood trees,9 (Very light),1.617,6.631,11.469,11,4,5,4,5,4,5,4,4.632,31.473,39.627,15,2,3,4,2,1,2,1,0,1,3,2,2.163,12.531,13.395,7,9,9,9,10,7.939,50.392,65.811,18,9,9,10,9,9,10,8,1,9,8,10,9,9,2.079,32.811,33.989,20,0,1,0,0,1,0,0,0,1,0,0,0,1,5.164,10.533,15.758,8,4,4,NA,4,NA,NA,2.513,22.555,42.447,21,4,5,4,1,2,5,4,4,5,2,5,4,5,4,4,5,4,1,2,5,9.09,108.089,115.426,41,5,6,5,6,5,6,5,5,6,5,6,5,5,6,5,6,5,6,5,1,5,5,7,7,6,3.503,3.503,5.616,2,Male,NA,Doctoral degree,10025,1 - 3 years,Married,Working (paid employee),NA,"Management, professional, and related",NA,225,27,8,17,79,5,31,20,18,41,38,Qual2591-0129-S1,73543697,10356239,604bd20e-d784-54cb-f5ae-8b6dff35adc2,NA,NA,NA,NA,1,NA,1081
2021-03-12 14:53:39,2021-03-12 14:59:30,IP Address,136.244.13.144,100,350,True,2021-03-12 14:59:31,R_RCgo6m37Ni1EtzP,NA,NA,NA,NA,30.4521942138671875,-95.70999908447265625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,NA,0,0,NA,Yes,12/25/1997,23,White/Caucasian,NA,"$40,000 to $49,999",0.597,6.661,10.482,13,5,NA,NA,5,2,4,0.342,17.356,17.867,36,3,-1,1,1,2,-2,-2,1,-2,-1,1,-2,1,-1,3,3,1,1,1,-1,-1,2,-3,-2,3,1,-2,-2,2,-1,2,-2,-2,-1,1,-2,1,-2,2,1,1,-2,2,1,-2,1,-1,-1,1,2,2,-2,-1,-1,3,2,-1,-1,0.615,7.153,7.813,11,NA,NA,NA,NA,NA,0.433,10.422,11.557,11,4,2,3,3,4,0.553,18.771,20.051,41,3,5,3,4,4,2,2,1,4,3,2,4,3,2,3,3,1,4,3,3,0.481,12.255,13.285,23,1,0,1,0,1,0,1,0,1,1,0.454,10.979,15.715,12,NA,3,Neighborhood trees,16,0.767,8.422,8.459,14,4,NA,NA,4,NA,4,4,0.362,12.592,13.709,22,4,2,2,3,0,2,1,2,1,1,3,0.385,6.207,8.108,10,9,6,4,5,0.685,14.111,15.291,27,5,7,4,4,2,6,3,1,6,6,3,7,10,0.392,10.998,11.045,18,1,0,1,0,0,0,0,1,0,0,0,0,0,0.362,7.952,9.365,16,NA,NA,NA,NA,NA,2,0.241,21.801,22.567,48,4,5,2,3,1,3,2,4,3,1,2,1,3,3,4,2,5,4,3,4,0.367,31.474,32.406,48,5,5,6,4,4,5,3,5,4,6,5,6,4,4,3,2,4,5,5,1,5,3,2,3,3,1.475,3.503,4.434,5,Male,NA,Associate degree in college (2-year),77318,1 - 3 years,Never Married,Working (paid employee),NA,Student,NA,221,22,21,16,80,6,25,20,13,35,45,Qual2591-0129-S1,73543697,10356239,604be2f4-3a3e-4b21-0cab-3e8a3c22af29,NA,NA,NA,NA,1,NA,1081
2021-03-12 14:07:37,2021-03-12 15:01:18,IP Address,184.18.38.16,100,3221,True,2021-03-12 15:01:18,R_1n8GT09uRsVjx8w,NA,NA,NA,NA,41.0977020263671875,-85.1175994873046875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,NA,0,0,NA,Yes,03/10/1933,88,White/Caucasian,NA,"$30,000 to $39,999",5.31,26.399,28.298,6,1,4,4,4,4,5,5.771,100.633,103.221,16,3,3,3,-3,3,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,-2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,-2,5.348,20,22.307,5,NA,NA,NA,NA,NA,16.582,40.546,41.901,5,2,2,2,2,1,7.417,48.175,49.606,20,4,1,2,1,3,1,1,1,3,3,1,4,1,4,1,4,4,1,4,1,11.924,73.068,74.953,10,0,0,0,0,0,0,0,0,0,0,29.233,47.614,52.372,3,6,1,Neighborhood trees,8 (Extremely light),7.987,26.669,37.647,7,NA,4,2,2,2,2,2,6.45,77.038,78.47,11,1,1,0,0,4,0,0,2,1,0,0,27.418,48.775,51.256,4,5,0,5,0,5.85,79.95,81.158,13,7,8,9,10,10,10,10,1,10,10,10,0,0,8.228,69.456,71.033,13,1,1,1,1,1,1,1,1,1,1,1,1,0,4.395,27.501,28.58,6,NA,NA,NA,NA,NA,NA,4.726,87.728,89.72,20,1,1,1,5,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,23.381,1877.861,1879.711,26,2,2,2,2,2,2,2,1,1,3,3,3,1,1,4,1,1,1,1,1,1,1,1,1,1,1.712,3.936,8.499,2,Female,NA,High school graduate (high school diploma or equivalent including GED),46808,> 3 years,Widowed,Not working (retired),NA,Retired,NA,151,22,14,9,47,0,17,8,10,37,10,Qual2591-0129-S1,73543697,10356239,604bd829-5b49-a46c-6e95-dc2b7c2e69bf,NA,NA,NA,NA,1,NA,1081
2021-03-12 14:51:45,2021-03-12 15:03:49,IP Address,73.46.113.171,100,723,True,2021-03-12 15:03:50,R_3dMuLolPKOyLXnI,NA,NA,NA,NA,25.9380950927734375,-80.31459808349609375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,NA,0,0,NA,Yes,3/12/1990,30,African American/Black,NA,"Less than $10,000",2.634,10.352,11.322,8,NA,4,2,1,2,NA,2.121,21.901,24.293,19,1,-1,-2,-2,-2,-2,-3,2,-1,-2,-2,2,-1,-3,-2,1,-1,-1,-2,-2,-2,2,-1,-2,-2,-2,-2,1,-1,-2,-1,-1,-1,-2,1,-1,-2,-1,-2,1,-1,-1,-2,1,-1,-1,-1,-2,1,-1,-2,1,-2,1,-1,-1,-2,-1,0.706,6.387,7.433,6,NA,NA,NA,NA,NA,3.031,51.488,52.962,9,2,2,2,1,3,1.969,29.022,30.056,26,3,2,3,2,4,3,4,4,3,3,3,3,3,3,1,2,4,5,2,5,0.935,19.725,19.744,14,0,0,0,0,1,0,0,1,1,0,1.229,6.938,14.856,5,3,4,Yard or personal garden,9 (Very light),2.794,15.231,15.252,11,NA,2,2,4,2,1,2,2.709,23.691,24.801,15,3,0,1,2,2,1,3,2,1,2,1,0.879,12.057,13.757,6,10,3,9,4,0.667,18.785,19.937,17,2,2,1,1,6,4,3,1,1,5,4,2,1,2.059,22.738,24.084,28,0,1,0,1,1,0,0,0,1,1,0,0,0,2.101,11.496,13.093,12,NA,NA,NA,4,NA,NA,1.664,33.917,35.266,41,4,3,1,4,4,1,1,4,3,3,2,2,4,4,3,2,1,5,3,3,0.569,49.323,50.994,53,5,3,2,3,3,2,1,4,3,3,2,1,4,3,2,1,1,1,5,1,4,1,1,1,1,1.243,6.717,8.18,5,Male,NA,Bachelor's degree in college (4-year),33054,> 3 years,Never Married,Not working (looking for work),NA,Unemployed,NA,218,15,25,10,88,3,16,17,19,45,43,Qual2591-0129-S1,73543697,10356239,604be270-7fd5-3566-3bfb-ed99e6beea70,NA,NA,NA,NA,1,NA,1081
2021-03-12 14:43:25,2021-03-12 15:06:30,IP Address,107.77.203.39,100,1384,True,2021-03-12 15:06:31,R_2PusY01n9QpUJw1,NA,NA,NA,NA,39.33270263671875,-76.73580169677734375,anonymous,EN,0.8000000000000000444089209850062616169452667236328125,NA,0,0,NA,Yes,03/12/2021,50,White/Caucasian,NA,"$100,000 to $149,999",11.327,40.082,41.864,15,1,2,4,5,4,4,18.732,135.411,136.391,45,-1,2,-2,2,-1,1,1,1,2,1,2,1,-1,-2,1,-2,-2,1,1,1,-2,1,1,1,2,1,-1,1,-1,1,-1,-1,2,2,-1,2,2,-1,2,2,1,1,1,-2,-1,2,-2,1,1,1,-1,-1,-2,-2,1,2,1,1,4.188,27.76,29.547,12,NA,NA,NA,NA,NA,12.173,25.301,26.931,11,2,3,2,2,2,3.875,59.65,60.976,51,3,3,2,4,2,2,2,2,2,2,4,3,1,1,1,2,3,1,2,2,2.026,118.574,119.93,37,1,0,0,1,0,0,0,0,0,0,5.176,25.705,28.397,6,7,0,NA,NA,4.61,39.101,40.495,16,2,4,2,4,2,5,2,7.763,68.438,72.35,26,3,3,2,2,2,2,1,2,1,2,2,4.801,33.55,34.523,12,6,3,6,2,5.449,78.116,79.317,40,4,3,3,3,5,5,6,1,6,4,4,5,8,5.561,62.773,63.731,35,1,1,0,1,1,0,1,1,1,0,0,0,0,3.899,26.775,28.118,15,NA,4,4,4,4,4,14.758,108.36,109.896,50,4,5,3,4,3,3,4,2,4,3,4,4,5,3,5,5,5,3,3,1,8.078,136.365,138.027,69,6,5,6,6,5,6,6,5,6,6,5,6,7,5,7,6,5,6,6,1,6,4,5,4,5,1.167,3.917,5.356,4,Female,NA,Bachelor's degree in college (4-year),18103,> 3 years,Married,Working (paid employee),NA,Service,NA,206,20,28,11,67,2,21,21,12,31,36,Qual2591-0129-S1,73543697,10356239,604be079-8618-cbca-c8d9-f3b59f91adcf,NA,NA,NA,NA,1,NA,1081
